Nombre_Slug_Repositorio,Estado
coopeuch-migracion-rsvalidacedula,
coopeuch-migracion-rsvalidaciontarjetas,
coopeuch-migracion-rsvalidafuncionario,
coopeuch-migracion-rsvalidatef,
coopeuch-migracion-rsverificacionsolicitudes,
coopeuch-migracion-rsverificardireccion,
coopeuch-migracion-rsvisadopgc,
coopeuch-migracion-serviciolog,
coopeuch-migracion-sqsibmbridge,
coopeuch-migracion-tokenizacion-rsenrolamiento,
coopeuch-migracion-tokenizacion-rstarjeta,
coopeuch-migracion-tokenizacion-rsutil,
coopeuch-migracion-wscuentavista,
coopeuch-origen-migracionbonos,
coopeuch-origen-wscampanamigraciontd,
lista-repositorios-blueprints.txt,
servicios-blueprint-conocimiento.csv,
